ENGINESIZE,CYLINDERS,FUELCONSUMPTION_COMB,CO2EMISSIONS
1.5,4,5.9,136
3.5,6,10.6,244
3,6,8.3,224
3,6,8.3,224
3,6,8.5,230
3,6,11.2,258
3,6,13.2,304
4.2,8,17.7,407
3,6,11.4,262
3,6,12.4,285
4,8,12.9,297
4,8,13.9,320
4,8,14,322
6,12,16.5,380
2,4,6.7,181
2,4,8.4,193
2,4,9.1,209
3,6,10,230
3,6,10.1,232
2,4,9.1,209
3,6,9.9,228
3,6,10.1,232
3,6,10.7,246
3,6,10.7,246
4.4,8,12.7,292
4.4,8,12.7,292
4.4,8,14.7,338
4.4,8,13.8,317
4.4,8,14.7,338
4.4,8,16.1,370
2,4,9.1,209
3,6,12.1,278
3.6,6,15.6,250
2,4,9.9,228
2,4,9.8,225
2,4,10.1,232
3.6,6,12.8,294
3,6,11,253
6.2,8,14.8,340
3.6,6,12.3,283
6.2,8,12.7,292
6.2,8,16.6,382
6.2,8,14.8,340
1.4,4,7.7,177
2.4,4,10,230
5.3,8,20.9,334
5.3,8,21.5,344
2,4,9.9,228
6.2,8,14.1,324
5.3,8,17.3,277
5.3,8,18.4,294
5.3,8,13.8,317
1.4,4,8.1,186
3.6,6,10.3,237
3.6,6,12,276
3.6,6,14.4,230
5.7,8,12.8,294
6.4,8,13.9,320
3.6,6,10.9,251
2,4,8.1,186
2.4,4,11.1,255
3.6,6,12,276
1.4,4,7.8,179
1.4,4,8.7,200
5.4,8,18.3,421
2,4,9.6,221
1.6,4,9.3,214
5.4,8,21.6,346
3.5,6,13,299
3.5,6,15.9,254
3.5,6,12.5,288
3.5,6,12.7,292
6.2,8,15.9,366
3.7,6,16.5,264
5,8,19.7,315
3.7,6,13.4,308
5,8,20,320
1.6,4,7.6,175
1.6,4,7,161
3.5,6,11.5,264
2,4,7.7,177
2,4,7.2,166
2,4,10.1,162
1.5,4,8.1,186
2,4,9.4,216
3.7,6,10.6,244
5,8,11.5,264
5,8,12.7,292
5.3,8,16.5,380
5.3,8,16.5,380
5.3,8,16.5,380
5.3,8,22.6,362
4.8,8,18,414
2.4,4,9.1,209
3.6,6,12,276
5.3,8,13.8,317
6.2,8,20.1,322
2.4,4,8.7,200
1.8,4,7.2,166
3.5,6,10.7,246
2,4,8.6,198
2,4,8.5,196
5,8,13.2,304
2.4,4,11.1,255
2,4,9.6,221
2,4,9.3,214
2,4,10.5,242
3.7,6,10.8,248
3.7,6,11.1,255
3.7,6,11.6,267
3.5,6,11,253
5.6,8,15,345
3,6,10.3,237
3,6,12.2,281
2.4,4,10.1,232
2.4,4,9.4,216
3,6,9.9,267
2,4,9.8,225
1.8,4,8.3,191
2,4,8.4,193
1.6,4,9.6,221
2,4,9.9,228
2.4,4,8.7,200
2.4,4,10,230
2,4,11.4,262
3,6,12.4,285
3,6,17.4,278
5,8,14.7,338
3,6,12.3,283
3,6,12.3,283
3,6,17.3,277
3.5,6,10.4,239
4.6,8,13.9,320
2.5,6,10.4,239
3.5,6,10.6,244
4.6,8,12.3,283
4.6,8,12.9,297
5.7,8,16.5,380
3.5,6,11.1,255
3.7,6,12.2,281
3.7,6,11.4,262
2,4,6.3,145
5.4,8,16,368
3.8,8,14.5,334
2,4,8,184
1.5,4,7.7,177
2,4,7,161
2.5,4,7.4,170
2,4,7,161
2.5,4,7.7,177
2,4,7.2,166
1.8,4,9.4,216
3.5,6,10.6,244
3.5,6,10.5,242
4.7,8,13.2,304
5.5,8,13.1,301
5.5,8,13.1,301
3.5,6,10.5,242
3.5,6,8.8,202
4.7,8,11.7,269
4.7,8,11.4,262
3,6,12,324
3.5,6,11.3,260
3.5,6,16,256
6,8,14.2,327
1.6,4,7.8,179
1.6,4,7.6,175
1.6,4,9,207
2,4,8.3,191
2,4,8.6,198
3.7,6,11.5,264
3.7,6,11.4,262
2.5,4,12.3,283
4,6,13.1,301
1.6,4,8.7,200
3.5,6,11.8,271
3.5,6,10.6,244
2.5,4,8.3,191
5.6,8,17.3,398
3.4,6,10.3,237
3.4,6,10.5,242
3.8,6,10.8,248
3.8,6,11,253
3.8,6,11,253
3.4,6,10.1,232
3.8,6,10.6,244
3.8,6,11.9,274
3.6,6,10.9,251
3,6,11.5,264
4.8,8,12.9,297
5.7,8,15.4,354
3.6,6,17.8,285
6.7,12,17.1,393
2,4,8.4,193
2,4,9.5,218
8.4,10,16.9,389
2,4,8.5,196
2,4,9.6,221
2,4,8.5,196
2,4,7.7,177
4,6,12.9,297
3.5,6,9.6,221
2.7,4,10.3,237
3.5,6,11.2,258
1.5,4,4.7,108
2.5,4,9.4,216
2.7,4,11.8,271
4,6,13.3,306
5.7,8,16.2,373
2.7,4,10.2,235
3.5,6,11.3,260
1.8,4,8.7,200
2.5,5,9.6,221
2,4,9.3,214
2,4,9.4,216
2,4,7.2,194
2,4,6.9,186
1.4,4,5.4,124
2.5,5,9.7,223
3.6,6,12.1,278
2,4,10.7,246
3,6,10.4,281
3.2,6,12.8,294
